model,R2,RMSE,Bias
XGB,0.8564,1.4989,-0.0268
GP,0.8559,1.5013,-0.0274
ET,0.8531,1.5157,-0.0045
LGB,0.8458,1.5531,-0.0173
MLR,0.8359,1.6021,-0.0047
RF,0.8343,1.6099,-0.0193
